_id,objectid,zone,shape_length,shape_area
1552,4,5,108899.285337233,221585521.007751
1553,5,4,175460.014269591,408240736.417358
1554,6,3,108024.845838893,236540201.053955
1555,7,2,83902.6500993094,139370927.847015
1556,8,6,155612.853514557,291351103.499329
1557,9,1,103561.754566372,247548056.444824
